company_name,raised_amount_usd
AdverCar,2000000.0
Astrid,400000.0
Adku,1500000.0
Automattic,1100000.0
Alphabet Energy,1.6E7
Advice Wallet,70000.0
Academia.edu,1600000.0
Appstores.com,590000.0
Atom Entertainment,2.29E7
AngelList,2.4E7
Acendi Interactive,2090000.0
Atom Entertainment,2.29E7
AdverCar,2000000.0
Automattic,2.95E7
Apcera,5000000.0
AgileMD,2000000.0
Anapsis,100000.0
Augmedix,100000.0
Appirio,1100000.0
Ark,5000000.0
Apportable,2400000.0
Ark,5000000.0
Aria Systems,4.0E7
Airbnb,20000.0
Adioso,15000.0
Ark,5000000.0
AllTrails,400000.0
Appbistro,600000.0
Appstores.com,565000.0
AwayFind,800000.0
AllTrails,400000.0
AirPR,1000000.0
AdStage,1400000.0
Audiodraft,400000.0
AngelList,2.4E7
Audentes Therapeutics,3.0E7
Applied Identity,1.0E7
AdRoll,4000000.0
AdRoll,1.5E7
Asseta,535000.0
Asana,9000000.0
Airbnb,1.12E8
Ark,5000000.0
Apcera,2200000.0
Asana,2.8E7
Anki,5.0E7
App.net,2500000.0
Airbnb,6621000.0
Atom Entertainment,2.29E7
Ark,5000000.0
AngelList,2.4E7
Aardvark,5250000.0
Aria Systems,4.0E7
Aardvark,5250000.0
Apiary,1630000.0
Adku,1500000.0
Applied Identity,1.0E7
Applied Identity,1.2E7
Applied Identity,1.1E7
Asseta,535000.0
Asana,9000000.0
Asana,2.8E7
Aravo Solutions,7000000.0
Aravo Solutions,1.9E7
Aravo Solutions,1.0E7
Automattic,1100000.0
AppRedeem,700000.0
Airstone Labs,2511000.0
AdverCar,2000000.0
AliveCor,3000000.0
AliveCor,1.05E7
Alphabet Energy,1000000.0
Alphabet Energy,1.2E7
Alphabet Energy,1.6E7
AllTrails,250000.0
AllTrails,990000.0
AdverCar,2000000.0
AwayFind,800000.0
Altius Education,1.86E7
Ark,5000000.0
Adura Technologies,5000000.0
Adura Technologies,1.2E7
Alphabet Energy,1000000.0
Alphabet Energy,1.2E7
Adura Technologies,8500000.0
Alphabet Energy,1.6E7
Apture,4100000.0
Avolent,9000000.0
Ad Infuse,1.2E7
Ad Infuse,5000000.0
Avolent,9000000.0
